id,name,Weight
1,28 may qəs.,0
2,6-cı mikrorayon,0
3,7-ci mikrorayon,0
4,8-ci mikrorayon,0
5,9-cu mikrorayon,0
6,Biləcəri qəs.,0
7,Binəqədi qəs.,0
8,Çiçək qəs.,0
9,Rəsulzadə qəs.,0
10,Sulutəpə qəs.,0
11,Xocəsən qəs.,0
12,Böyükşor qəs.,0
13,Montin qəs.,0
14,1-ci mikrorayon,0
15,2-ci mikrorayon,0
16,3-cü mikrorayon,0
17,4-cü mikrorayon,0
18,5-ci mikrorayon,0
19,Kubinka,0
20,8-ci kilometr,0
21,Keşlə qəs.,0
22,UPD,0
23,NZS,0
24,Baş Ələt qəs.,0
25,Ceyildağ qəs.,0
26,Ələt qəs.,0
27,Heybət qəs.,0
28,Korgöz qəs.,0
29,Kotal qəs.,0
30,Lökbatan şəh.,0
31,Müşfiqabad qəs.,0
32,Pirsaat qəs.,0
33,Puta qəs.,0
34,Qaradağ qəs.,0
35,Qarakosa qəs.,0
36,Qızıldaş qəs.,0
37,Qobustan şəh.,0
38,Sahil qəs.,0
39,Səngəçal qəs.,0
40,Şıxlar qəs.,0
41,Şonqar qəs.,0
42,Şubani qəs.,0
43,Ümid qəs.,0
44,Yeni Ələt qəs.,0
45,Bakıxanov qəs.,0
46,Balaxanı qəs.,0
47,Bilgəh qəs.,0
48,Kürdəxanı qəs.,0
49,Məştağa qəs.,0
50,Nardaran qəs.,0
51,Pirşağı qəs.,0
52,Ramana qəs.,0
53,Sabunçu qəs.,0
54,Savalan qəs.,0
55,Yeni Ramana,0
56,Zabrat qəs.,0
57,20-ci sahə,0
58,Badamdar qəs.,0
59,Bayıl qəs.,0
60,Bibi Heybət qəs.,0
61,Bahar qəs.,0
62,Bülbülə qəs.,0
63,Dədə Qorqud qəs.,0
64,Əmircan qəs.,0
65,Hövsan qəs.,0
66,Köhnə günəşli qəs.,0
67,Qaraçuxur qəs.,0
68,Suraxanı qəs.,0
69,Yeni Günəşli qəs.,0
70,Yeni Suraxanı qəs.,0
71,Zığ qəs.,0
72,Əhmədli,0
73,H.Aslanon qəs.,0
74,Ağ şəhər,0
75,Binə qəs.,0
76,Buzovna,0
77,Çilov qəs.,0
78,Dübəndi,0
79,Gürgən,0
80,Mərdəkan,0
81,Pirallahı,0
82,Qala,0
83,Şağan,0
84,Şimal qres,0
85,Şüvəlan,0
86,Türkan,0
87,Zaqulba,0
88,Zirə,0
89,Alatava,0
90,Yasamal qəs.,0
91,Yeni Yasamal qəs.,0
92,İçəri şəhər,0
94,Dərnəgül,0
95,Albalı qəs.,0
96,Qum adası,0
